date,production,f_production,capacity,f_capacity,new_orders,f_new_orders,unfilled_orders,f_unfilled_orders,shipments_volume,f_shipments_volume,delivery_time,f_delivery_time,inventory,f_inventory,prices_paid,f_prices_paid,prices_received,f_prices_received,wages,f_wages,employment,f_employment,avg_hours_worked,f_avg_hours_worked,capex,f_capex,outlook,f_outlook,biz_climate,f_biz_climate,uncertainty
2012-10-01,8.4,30.9,10.3,31.8,-6.3,25.3,-17.4,1.6,5.3,31.6,-9.8,-1.9,-8.9,0.0,31.8,38.0,4.0,18.4,9.7,33.8,4.2,24.3,-4.1,10.9,8.6,21.2,-1.2,21.6,-3.4,16.0,
2012-11-01,3.7,19.4,-0.6,20.9,0.8,19.2,-6.3,-6.9,2.8,16.8,0.7,-10.3,-11.9,-6.1,26.6,39.0,8.9,28.0,16.0,27.6,7.2,-1.8,-6.2,3.5,6.9,20.6,-7.8,0.7,-8.5,-6.4,
2012-12-01,1.4,22.2,-0.1,18.7,-0.9,28.2,-5.6,2.4,11.6,24.1,-3.1,-2.8,-5.5,0.0,19.5,38.1,-2.4,17.3,14.1,31.5,-2.9,18.4,2.3,4.3,13.3,17.1,4.9,13.5,3.0,5.6,
2013-01-01,19.4,34.9,19.4,30.6,12.2,35.3,-7.4,5.4,24.1,36.5,4.4,-0.6,-5.6,1.2,27.3,38.7,9.2,21.4,18.8,41.4,8.7,24.5,0.9,9.6,18.5,27.8,13.5,21.6,5.8,8.5,
2013-02-01,6.3,29.5,6.9,27.1,5.1,29.4,-3.7,5.1,2.1,33.3,0.7,-4.6,4.2,5.5,15.8,37.1,3.7,13.2,13.3,34.2,2.1,18.5,-2.3,1.8,12.1,20.3,7.7,20.6,2.4,10.7,
2013-03-01,9.2,36.2,5.5,33.5,9.8,35.0,-5.5,7.4,12.6,35.9,0.5,-4.2,9.9,1.2,18.9,40.1,7.8,23.2,19.3,34.8,3.9,28.0,-4.1,5.8,12.2,20.1,10.1,23.2,9.2,17.1,
2013-04-01,-2.0,34.1,2.5,30.5,-8.7,34.2,-7.5,5.9,0.2,30.7,-7.7,-1.4,2.1,2.2,3.3,29.5,-3.7,13.4,18.2,39.7,6.3,22.5,-7.2,-2.0,4.8,14.5,-1.8,8.5,-16.2,-4.0,
2013-05-01,9.1,36.8,4.9,29.2,9.0,28.7,-7.2,-0.9,3.3,31.8,-0.9,-5.5,0.0,2.2,5.3,25.9,-7.2,11.1,13.6,33.1,-4.0,15.2,-1.1,-1.7,2.1,15.2,-2.7,8.2,-6.9,0.8,
2013-06-01,18.8,43.4,17.2,39.9,18.6,35.1,0.9,10.0,18.9,38.0,0.7,-2.9,-2.1,0.0,10.5,29.3,-2.6,20.9,19.3,37.2,1.1,26.8,7.3,8.8,11.2,22.1,16.0,21.7,5.9,17.1,
2013-07-01,9.4,43.0,10.1,42.9,10.8,31.2,-4.5,-2.6,15.8,34.8,-2.6,0.2,-1.2,1.2,16.0,35.2,-0.6,14.5,16.4,32.7,8.6,30.8,1.7,7.5,3.9,18.2,4.6,15.9,2.6,10.0,
2013-08-01,6.9,38.3,5.0,35.5,7.4,37.1,0.3,6.5,9.3,43.0,-8.8,-2.6,-11.0,-1.3,8.3,28.8,5.0,16.4,13.2,41.5,11.3,16.8,-9.2,5.4,12.1,23.3,8.2,14.1,5.2,17.5,
2013-09-01,7.9,38.8,7.4,33.7,6.8,36.6,1.8,7.7,6.9,35.2,-1.6,4.7,-10.0,-1.2,13.7,30.9,11.4,13.9,9.5,29.7,9.1,24.0,-1.8,9.6,6.7,16.6,7.7,17.3,11.8,16.0,
2013-10-01,12.1,27.1,10.6,31.1,6.9,26.8,-4.1,9.2,13.2,34.5,-1.5,0.2,1.2,5.1,19.5,33.8,3.7,27.9,20.1,39.2,9.2,16.8,5.6,7.6,10.8,17.5,3.0,14.2,1.8,8.3,
2013-11-01,18.0,31.6,17.0,35.7,7.9,33.9,-6.1,5.5,16.2,34.4,-4.9,-2.6,5.9,-3.8,21.1,32.7,2.7,26.8,15.2,47.6,5.5,26.7,4.0,10.5,11.4,18.4,8.4,19.2,0.4,7.0,
2013-12-01,3.3,52.0,5.4,45.1,0.6,47.4,-2.5,12.1,-2.4,43.0,-6.9,-5.3,3.4,6.1,31.7,41.6,5.4,37.8,21.7,47.7,6.1,26.1,-2.5,27.2,13.7,26.7,14.3,23.6,4.2,23.6,
2014-01-01,12.6,49.5,12.0,47.8,15.7,47.5,-0.7,13.2,10.1,46.4,-3.2,4.5,5.1,0.0,28.1,37.2,11.4,38.9,21.4,50.0,9.0,34.5,3.9,16.2,16.9,22.1,16.9,33.9,5.0,22.1,
2014-02-01,11.9,47.2,11.4,37.9,11.8,40.4,1.7,4.5,14.0,40.5,4.9,5.7,-1.1,2.2,22.9,39.9,11.2,27.3,27.6,41.0,10.7,32.0,13.9,12.6,5.4,20.3,2.7,19.9,0.3,13.3,
2014-03-01,18.3,46.6,14.1,38.9,15.9,42.2,0.3,7.5,22.9,42.8,1.3,-0.9,9.1,-5.3,23.9,30.9,7.9,28.4,21.7,47.2,17.6,32.4,7.0,9.0,12.1,17.2,8.9,29.6,7.1,17.6,
2014-04-01,25.7,48.5,20.5,39.6,19.4,44.7,4.2,5.8,14.2,44.0,3.3,-1.4,5.6,1.0,10.4,29.7,8.4,21.2,22.4,39.8,21.0,31.0,15.4,10.5,12.4,18.8,24.7,29.4,13.9,27.0,
2014-05-01,10.8,37.5,9.2,37.3,6.0,36.8,-6.8,4.4,11.7,37.2,-6.2,-5.4,-1.0,-9.7,24.4,35.8,7.2,27.9,20.4,43.8,5.1,29.5,6.7,8.2,13.0,24.3,8.4,22.7,12.7,13.8,
2014-06-01,19.0,45.0,11.7,41.1,10.3,41.3,4.4,6.2,13.7,42.2,2.0,-1.2,2.6,-3.9,22.6,37.6,7.5,24.7,18.2,45.1,14.1,30.7,7.5,15.8,11.2,20.5,10.6,34.7,11.9,20.1,
2014-07-01,19.1,38.9,18.1,40.7,14.5,40.2,2.3,9.7,23.0,41.2,3.8,2.1,-7.0,-1.8,24.2,36.8,8.1,24.7,19.3,46.1,11.2,25.8,6.3,7.5,11.5,18.6,11.9,24.1,11.2,18.9,
2014-08-01,6.7,45.8,4.2,42.8,3.3,44.7,4.5,6.1,5.0,44.8,5.3,-0.6,-6.2,-1.8,24.5,48.4,10.7,22.2,23.0,42.9,11.8,29.6,2.5,10.8,4.9,19.1,2.2,31.0,6.8,20.9,
2014-09-01,16.0,43.8,18.4,36.7,9.1,34.6,-0.1,4.2,14.0,41.5,1.5,1.3,-6.8,-1.0,14.1,36.3,7.3,29.3,26.8,40.8,10.1,20.5,8.9,10.9,3.7,24.1,6.1,32.5,9.8,12.8,
2014-10-01,13.4,41.4,17.8,35.2,15.5,37.4,1.7,3.5,13.5,33.4,4.7,2.0,4.5,-1.0,15.9,32.3,6.7,15.2,24.3,40.6,9.5,34.5,10.0,7.7,8.0,20.2,18.6,21.4,8.7,12.4,
2014-11-01,7.5,36.6,11.1,33.8,7.7,34.4,0.8,8.0,14.5,37.9,-0.9,0.6,-1.9,7.9,12.4,29.0,10.4,23.5,24.4,40.6,9.9,23.7,5.5,11.6,12.4,18.4,10.4,20.1,9.0,17.2,
2014-12-01,13.7,31.4,9.6,31.2,2.0,31.4,-6.8,-1.3,19.8,29.4,3.5,-4.9,-7.4,3.0,7.2,11.6,3.1,12.0,25.2,38.6,8.2,19.0,-1.3,0.3,4.2,16.0,8.0,21.3,3.8,12.6,
2015-01-01,3.9,20.2,7.4,18.2,-8.8,25.3,-9.4,-3.0,5.6,18.8,1.7,-5.0,7.6,-5.0,-1.1,7.9,-7.6,5.0,18.8,27.2,8.5,13.8,-1.0,-0.7,-1.2,0.7,-3.5,1.9,-4.5,-7.0,
2015-02-01,0.8,24.4,-4.4,15.0,-12.5,24.8,-18.8,-7.4,-4.6,24.5,-4.8,-13.2,-3.8,-6.8,-1.2,5.1,-5.0,3.9,17.3,35.4,0.3,7.4,-2.1,-1.7,-5.8,9.1,-6.4,10.7,-13.2,4.1,
2015-03-01,-6.1,36.0,-7.1,32.8,-16.5,31.7,-15.5,-2.0,-6.7,30.4,-2.6,-0.2,1.8,-8.3,-9.5,12.3,-10.3,6.5,15.8,34.0,-1.0,17.8,-5.8,4.8,-1.0,8.8,-5.0,14.8,-17.4,2.7,
2015-04-01,-5.3,28.7,-11.4,22.4,-18.1,32.0,-15.1,-4.7,-5.2,30.8,-6.8,-8.2,-7.5,-7.7,-10.1,18.7,-8.2,9.8,16.6,34.2,1.4,12.0,-6.7,5.1,3.1,10.0,-8.5,6.3,-16.7,-5.0,
2015-05-01,-15.4,40.0,-14.3,35.6,-13.7,36.2,-10.1,3.7,-14.3,32.8,-12.4,2.0,-4.5,-13.8,-1.8,19.2,-7.7,10.1,14.3,30.8,-9.4,13.7,-11.2,13.4,3.2,10.9,-8.9,18.0,-18.9,6.7,
2015-06-01,-5.0,36.5,-4.4,32.6,-6.7,35.1,-16.5,-3.0,-5.7,31.3,-4.3,2.5,-3.6,-2.8,5.4,19.5,-1.5,5.5,15.1,30.6,-2.9,17.4,-11.2,8.7,1.9,16.2,-7.3,14.6,-7.0,9.1,
2015-07-01,-3.2,37.0,-5.1,37.5,3.1,39.6,-7.7,9.0,-4.7,37.5,-0.5,7.7,10.7,1.0,1.5,21.5,-1.5,11.4,14.5,32.6,-6.6,16.6,-8.7,14.2,1.8,17.3,1.0,25.4,-5.0,19.3,
2015-08-01,-2.1,29.1,0.5,25.2,-11.5,26.1,-4.4,2.4,-4.7,28.5,0.1,-5.0,-0.9,-2.8,-7.8,17.4,-14.2,2.7,16.8,33.0,-4.0,10.9,-1.9,5.2,4.8,12.2,-11.1,7.0,-16.6,5.3,
2015-09-01,-1.7,27.6,3.7,22.2,-2.1,25.3,-7.9,0.4,-1.0,22.7,-8.5,-4.1,-2.6,-8.2,-2.7,17.5,-10.1,7.3,15.3,43.2,-10.1,5.5,-14.8,6.4,-7.3,17.8,-6.6,7.8,-10.1,5.5,
2015-10-01,4.3,34.5,8.9,28.7,-5.7,31.9,-3.0,5.5,8.0,36.8,-10.8,-5.7,0.9,3.9,-2.2,16.6,-9.1,12.6,17.6,34.2,-2.5,20.6,-1.9,4.8,-1.2,19.6,-5.3,9.8,-14.1,3.4,
2015-11-01,6.7,31.3,8.0,34.5,1.9,34.6,-5.4,4.1,7.1,35.4,1.4,-1.3,-5.7,-6.8,-5.3,22.9,-10.5,12.9,15.9,33.3,10.7,23.3,8.5,0.4,3.6,11.4,2.0,15.6,-5.2,7.3,
2015-12-01,11.0,27.8,6.2,26.3,-7.5,29.3,-14.6,3.2,7.8,24.7,-4.3,-7.5,-6.0,2.8,-9.2,15.0,-16.7,8.3,20.3,29.7,10.5,16.8,13.0,1.8,2.2,15.0,-11.3,6.2,-20.8,-1.9,
2016-01-01,-7.2,24.5,-4.6,19.3,-9.8,24.4,-17.4,0.5,-11.8,21.4,-8.0,-1.2,1.8,-6.2,-7.8,9.2,-10.4,-5.3,16.5,27.1,-4.2,5.5,-9.5,-2.3,2.7,6.7,-19.4,-3.3,-35.6,-26.3,
2016-02-01,-8.7,33.3,-7.7,35.0,-18.4,29.8,-12.5,6.3,-2.4,27.9,-6.3,-3.5,-1.7,1.8,-11.6,9.9,-13.3,0.9,12.9,33.1,-13.8,19.8,-9.8,12.4,-2.7,17.0,-19.6,15.0,-33.0,-3.0,
2016-03-01,3.3,31.9,3.1,26.6,-4.2,30.5,-9.3,7.3,1.8,25.4,-8.6,-1.1,-4.5,-7.5,0.3,17.3,-8.3,13.9,15.4,34.8,-9.8,12.3,-5.0,-0.8,-1.8,14.7,-11.1,13.4,-11.9,7.1,
2016-04-01,6.3,34.8,8.8,36.3,4.6,34.4,-7.9,1.2,8.3,34.8,-7.2,-2.4,0.0,-2.1,8.0,18.4,-6.4,2.1,17.5,34.2,-3.2,8.6,-1.0,15.3,1.3,9.6,-4.9,9.6,-12.3,2.3,
2016-05-01,-15.5,25.2,-13.4,26.2,-13.7,25.1,-8.3,0.9,-13.3,24.6,-5.2,-5.7,-8.1,-8.6,15.2,18.0,-1.4,3.8,22.6,31.6,-5.8,1.0,-11.4,-3.3,-6.8,3.3,-14.4,5.7,-18.2,0.3,
2016-06-01,-5.0,28.4,-8.0,22.8,-11.3,27.0,-12.2,1.6,-6.6,27.8,-7.8,0.6,-4.4,-10.2,13.5,15.0,-4.2,6.7,21.5,31.0,-11.6,12.8,-13.0,6.9,-1.6,10.8,-10.0,8.0,-17.7,4.3,
2016-07-01,0.3,46.0,0.4,43.0,-5.1,43.5,-5.0,4.2,-0.3,38.4,-2.3,0.9,-9.9,5.9,11.5,17.4,-4.2,5.9,11.8,30.7,-4.0,19.1,-0.6,9.7,4.5,22.6,-0.9,23.1,0.5,20.6,
2016-08-01,5.0,34.6,2.4,33.3,8.0,39.1,-3.7,5.2,8.8,30.9,6.4,-0.6,-6.3,4.7,16.7,22.6,1.0,7.6,13.5,39.2,-5.9,22.4,-5.5,10.0,-6.1,17.5,-2.3,17.7,-5.4,10.1,
2016-09-01,16.4,32.6,14.2,30.0,0.4,28.8,0.0,3.2,19.0,27.5,2.3,-1.5,-0.9,5.8,12.7,25.1,0.5,8.7,22.3,32.8,0.5,14.6,3.0,6.6,2.5,14.0,7.9,17.7,-2.5,11.3,
2016-10-01,7.8,33.3,2.5,33.5,-0.5,31.5,-7.0,0.7,3.4,25.2,-1.4,-6.4,1.8,0.9,14.7,26.8,2.3,14.0,17.4,38.0,-1.3,15.9,0.2,4.7,7.8,13.6,2.4,10.2,-1.2,4.5,
2016-11-01,12.0,51.1,7.3,46.6,3.0,46.1,-2.7,14.1,0.6,44.7,-1.8,-2.3,-6.3,3.8,20.2,35.0,10.2,31.1,20.0,41.2,5.2,31.0,3.7,18.7,2.8,27.9,14.6,34.8,12.5,33.5,
2016-12-01,13.6,53.9,14.1,48.6,9.5,48.2,-1.9,11.7,6.8,49.0,-7.2,4.7,-2.7,11.3,30.2,39.6,15.6,26.0,20.0,44.3,-4.3,38.1,2.5,14.3,6.9,33.3,18.5,47.1,18.6,42.2,
2017-01-01,14.8,52.7,11.8,47.7,15.9,54.8,5.3,16.7,16.4,51.6,-4.6,5.1,-8.8,13.7,32.0,36.3,17.4,32.8,21.3,41.6,7.1,36.6,9.6,12.7,16.7,24.6,25.3,47.3,22.6,42.7,
2017-02-01,17.1,46.3,16.2,43.7,11.7,50.8,-0.4,10.7,11.4,43.8,5.9,5.7,-2.6,4.6,32.3,35.4,18.8,31.5,19.9,43.7,9.6,39.0,8.5,11.5,14.1,28.5,16.1,34.5,22.9,34.5,
2017-03-01,19.2,44.8,13.5,36.2,9.5,45.3,-0.7,7.1,7.9,45.6,8.9,4.4,-1.8,5.5,26.0,40.6,7.4,25.5,20.4,45.3,10.2,28.2,9.7,9.1,12.4,24.8,17.2,39.6,16.8,35.3,
2017-04-01,15.8,39.6,11.7,37.0,9.7,36.9,0.6,7.9,10.5,42.0,0.6,8.5,1.0,4.9,22.1,26.7,12.1,26.0,19.4,45.7,9.8,32.0,6.2,10.4,6.0,27.1,15.3,25.3,17.1,26.6,
2017-05-01,21.8,50.1,17.7,43.8,20.3,46.8,9.6,11.9,23.0,47.0,2.0,6.7,-1.8,5.5,18.4,26.8,6.6,30.5,24.8,42.4,9.4,42.8,16.9,13.6,11.2,25.2,22.0,31.4,19.0,31.9,
2017-06-01,13.5,48.2,13.2,43.4,12.6,53.0,2.6,9.8,9.4,44.7,-0.7,1.7,-7.1,7.4,14.7,18.7,3.0,15.9,20.5,43.9,10.6,32.8,9.3,9.8,13.6,28.4,10.5,34.8,14.8,31.8,
2017-07-01,22.8,49.4,18.4,41.2,18.4,43.1,0.4,11.5,10.6,46.7,4.8,4.8,-1.7,4.7,17.7,23.5,5.7,21.2,21.3,46.2,10.5,36.6,9.1,9.4,11.7,30.8,26.4,34.2,16.9,31.4,
2017-08-01,20.6,44.3,13.2,41.0,15.7,48.8,0.9,8.3,17.0,41.7,1.0,3.0,-3.8,-2.0,29.0,30.8,11.5,17.0,26.6,44.3,9.9,30.7,14.1,12.2,15.1,22.3,14.9,34.1,16.6,30.0,
2017-09-01,18.9,47.8,15.9,45.7,21.2,48.7,9.3,10.7,26.2,48.8,10.5,1.5,-4.5,10.5,36.0,35.7,18.6,20.0,27.3,39.7,15.2,41.6,18.4,17.7,13.8,30.3,25.8,38.8,21.5,34.1,
2017-10-01,26.7,46.4,24.1,47.8,27.3,45.2,11.6,11.0,22.4,50.2,3.0,0.1,9.9,-0.9,33.4,37.4,15.7,18.9,23.0,36.6,16.3,35.8,16.0,15.1,13.1,29.7,25.3,36.9,27.1,37.9,
2017-11-01,17.3,45.8,20.2,45.7,23.6,47.9,11.5,15.8,18.9,43.8,6.7,4.8,0.0,6.2,34.6,49.4,16.7,35.8,15.0,46.2,7.2,29.2,12.8,22.0,17.0,31.6,20.2,39.9,19.8,38.1,
2017-12-01,33.9,47.0,27.1,40.0,32.5,51.2,10.2,18.4,23.1,47.1,9.4,6.5,-2.0,12.4,35.0,51.6,18.7,42.7,27.2,44.6,20.7,38.0,24.2,14.1,19.7,39.6,31.0,39.7,31.7,40.5,
2018-01-01,19.4,51.5,17.5,45.0,27.6,50.5,7.6,15.2,29.2,50.1,10.1,6.7,0.0,11.7,37.2,41.6,23.7,36.2,25.2,55.9,16.6,43.9,15.2,13.5,20.7,34.3,28.4,41.7,34.9,44.4,-8.3
2018-02-01,29.9,46.3,22.0,45.5,27.5,49.5,11.3,19.1,33.2,45.0,5.4,2.5,7.6,5.9,42.4,41.9,23.1,31.6,34.3,48.6,20.4,34.5,18.6,15.3,24.5,35.2,29.9,32.2,36.9,38.4,-5.8
2018-03-01,14.2,45.7,10.7,46.9,9.4,44.4,5.7,17.7,11.8,48.3,1.9,6.3,1.8,5.7,44.2,48.6,18.8,28.7,24.2,49.4,12.8,34.3,9.2,19.6,17.8,37.5,19.1,30.8,22.0,30.7,2.8
2018-04-01,25.1,52.5,17.9,48.8,25.4,48.7,7.5,14.6,20.2,49.7,14.5,12.5,1.7,11.1,48.2,47.5,16.7,33.3,29.7,51.3,19.0,34.4,14.7,14.8,23.3,31.7,22.8,36.7,21.1,30.9,12.4
2018-05-01,33.8,59.2,30.3,52.3,28.2,49.1,4.7,12.7,38.7,49.7,10.0,14.1,-6.6,11.9,44.7,50.0,21.2,27.0,24.5,51.0,24.6,36.9,23.9,15.1,21.6,33.4,28.9,36.1,28.1,29.7,-2.9
2018-06-01,23.6,48.8,21.8,47.6,31.2,47.4,13.2,23.8,26.6,43.2,15.8,7.6,5.8,7.2,53.0,49.1,26.0,28.1,31.0,53.2,24.8,40.3,20.9,10.4,24.7,34.6,32.8,38.4,37.0,35.6,7.9
2018-07-01,29.0,51.6,24.7,48.1,24.8,50.0,14.4,11.8,30.5,48.7,13.4,4.9,-1.9,3.8,49.9,48.7,23.0,26.6,33.2,54.0,28.6,40.7,22.3,17.4,27.0,32.9,19.8,37.0,33.2,35.9,17.0
2018-08-01,29.0,48.0,25.5,40.0,23.9,47.0,9.2,10.1,25.4,48.4,9.2,8.1,13.9,9.9,45.7,48.5,15.7,32.0,33.0,45.0,29.5,42.9,19.2,11.1,25.8,41.5,25.5,35.0,30.6,35.1,16.2
2018-09-01,21.7,44.6,20.7,41.6,15.1,44.5,2.1,12.5,19.7,41.5,3.8,6.2,6.0,10.3,42.3,42.9,13.5,28.0,34.1,57.6,16.3,40.0,13.2,11.2,17.6,37.6,17.1,34.0,27.8,37.9,19.9
2018-10-01,17.2,48.7,15.3,39.1,19.3,45.8,6.1,10.9,17.2,50.8,7.1,9.5,2.6,11.3,53.5,43.0,16.9,27.1,32.6,51.1,23.0,33.9,8.7,15.3,24.7,28.6,23.6,38.4,28.5,35.0,6.9
2018-11-01,8.5,53.4,10.0,44.2,10.2,47.0,3.6,6.7,8.7,46.2,3.0,2.4,2.6,3.8,33.0,37.2,7.5,29.2,24.5,44.0,15.7,41.9,6.3,8.2,10.0,35.2,13.5,32.1,16.1,23.9,12.3
2018-12-01,5.6,32.4,5.9,30.1,14.0,31.8,-3.0,1.5,5.9,30.8,-2.8,8.7,1.9,2.0,27.9,33.7,5.8,26.7,29.9,44.7,9.1,28.0,6.2,10.6,14.5,24.8,-5.6,9.6,-6.2,1.3,9.2
2019-01-01,14.6,53.7,15.1,46.8,11.0,43.4,-0.7,4.7,12.6,42.1,-2.0,4.7,5.4,8.6,20.6,29.4,6.3,26.7,27.8,46.7,5.6,38.1,5.4,14.4,16.1,32.5,5.6,22.3,-0.9,9.0,15.6
2019-02-01,9.3,43.9,6.4,39.1,5.9,44.1,-0.6,10.2,10.5,44.1,-1.7,8.6,-2.5,5.4,20.9,22.7,4.4,25.9,29.3,45.7,12.1,32.5,3.9,10.9,18.8,23.5,11.5,26.8,10.6,14.7,4.1
2019-03-01,10.6,51.3,9.1,48.1,2.0,42.6,-1.0,10.8,6.7,44.2,3.3,9.7,1.7,9.1,19.5,26.4,6.0,20.0,30.1,54.8,13.7,37.3,6.7,14.7,11.5,36.0,3.9,18.6,6.7,18.1,3.4
2019-04-01,12.5,40.8,15.1,39.7,7.0,36.7,-0.3,9.3,6.3,35.5,1.5,2.6,-5.7,-4.1,8.7,12.3,5.8,8.0,28.2,39.2,5.2,32.2,8.3,9.2,18.4,26.6,6.2,20.4,1.4,17.9,6.8
2019-05-01,3.9,36.4,5.2,34.4,2.1,35.3,-1.0,1.0,6.0,32.4,6.4,1.1,-6.2,-11.5,7.0,27.0,1.2,6.7,27.2,32.6,12.7,27.4,7.6,3.4,18.2,23.2,-1.0,11.5,-4.7,8.6,16.1
2019-06-01,9.5,24.7,9.4,25.4,3.7,21.5,4.2,1.6,2.0,27.0,-0.7,9.2,-6.1,4.8,15.0,21.7,1.1,15.0,21.1,39.3,9.3,19.6,4.5,8.8,7.2,22.2,-6.4,2.2,-13.9,-3.5,21.6
2019-07-01,9.4,31.3,10.5,32.3,6.0,30.7,-3.5,2.3,9.8,39.6,-4.3,-0.2,-10.6,2.0,18.0,26.2,-1.5,14.7,19.5,45.8,16.0,28.1,5.8,15.0,15.3,21.7,-1.3,8.1,-6.7,5.5,9.7
2019-08-01,19.0,24.2,15.9,21.4,9.3,22.3,0.1,0.5,17.6,25.6,1.9,2.3,-9.5,-10.3,10.0,16.4,-2.4,9.1,26.4,34.6,5.5,22.1,3.3,3.4,7.4,16.9,4.0,9.9,2.2,0.8,18.6
2019-09-01,13.1,24.5,11.0,19.0,7.5,22.3,-1.6,-6.4,13.8,16.9,2.2,-1.5,-6.2,-8.6,19.1,19.9,1.5,11.5,17.5,34.8,18.1,14.8,5.5,-0.1,11.3,21.8,7.6,0.8,1.4,-7.7,13.3
2019-10-01,4.3,29.1,3.2,25.5,-4.5,33.8,-9.3,2.6,6.2,28.8,-4.3,2.1,-4.5,1.9,22.4,19.7,4.9,7.8,21.3,39.1,10.5,23.9,5.6,2.8,13.9,22.5,8.6,14.6,-6.1,1.4,12.1
2019-11-01,-2.1,30.7,-5.2,35.4,-3.1,27.8,-8.8,5.8,-4.6,26.4,-3.5,3.4,-10.6,-0.9,17.4,26.8,2.2,7.5,19.9,35.6,0.7,19.7,-4.3,10.8,4.6,9.5,-1.6,16.2,-1.7,6.3,17.1
2019-12-01,2.3,36.4,6.6,34.6,1.0,32.8,-6.1,0.8,1.9,29.9,-6.8,4.1,-12.3,8.0,13.6,13.5,0.3,10.2,13.3,27.9,4.6,16.9,2.4,9.3,15.6,19.9,0.5,13.6,-2.6,5.5,5.6
2020-01-01,12.2,39.1,13.1,35.6,17.9,40.4,-4.3,8.6,9.5,38.6,-2.9,6.9,-3.5,0.9,8.7,17.9,-1.9,10.0,15.2,41.8,1.0,24.1,0.0,13.3,8.9,26.7,1.8,14.3,-0.9,5.6,2.7
2020-02-01,16.8,34.6,11.3,31.2,7.8,34.1,-0.2,6.1,8.2,27.8,2.5,9.1,-5.5,16.8,11.4,20.5,-0.5,11.6,22.3,38.6,-1.6,19.3,2.5,11.8,6.3,20.4,2.5,22.7,0.7,16.0,11.0
2020-03-01,-35.0,-18.9,-34.0,-17.0,-42.1,-20.9,-24.1,-21.5,-33.6,-23.3,-3.5,-7.8,-6.5,-10.1,-7.8,-9.4,-10.6,-13.9,4.2,1.3,-23.0,-17.8,-22.5,-12.4,-35.7,-20.5,-65.6,-37.7,-69.1,-40.2,62.6
2020-04-01,-54.8,-13.6,-55.9,-14.7,-71.6,-12.9,-26.5,-19.8,-57.7,-8.7,-14.4,-16.2,-8.8,-15.9,-21.3,2.9,-25.4,-15.9,-3.3,-0.4,-22.5,-8.7,-41.2,-10.2,-55.0,-20.4,-63.6,-42.0,-75.0,-43.1,54.4
2020-05-01,-27.6,30.1,-28.3,28.4,-28.9,18.4,-16.9,-4.8,-26.3,15.2,-10.5,-1.8,-8.9,-7.7,1.7,20.0,-19.0,4.8,0.1,12.8,-10.2,-3.7,-21.6,9.1,-33.8,-7.2,-33.2,-9.6,-48.5,-18.1,28.3
2020-06-01,15.3,38.8,8.9,40.9,5.7,33.5,-1.0,9.2,4.9,32.1,-0.7,1.6,-9.8,1.9,11.7,19.6,-4.2,7.7,6.4,21.5,-0.2,19.2,-4.2,6.1,-10.1,11.1,3.3,16.8,-6.2,20.2,9.1
2020-07-01,17.5,37.9,15.8,32.2,10.4,38.1,8.6,3.3,18.7,34.4,4.1,4.8,-9.9,1.0,11.5,25.0,-0.6,10.9,9.3,23.6,4.2,12.1,5.6,10.6,-2.7,12.5,7.4,19.9,-1.4,11.7,20.9
2020-08-01,15.3,43.7,13.6,42.2,13.3,42.3,9.2,9.0,25.5,37.3,8.3,7.9,-17.3,1.0,21.0,26.8,1.9,7.8,15.6,28.4,12.2,28.7,10.0,15.8,0.4,14.5,17.9,29.5,9.5,22.2,8.2
2020-09-01,23.6,48.0,19.2,41.1,18.7,48.9,7.6,16.2,23.3,42.1,11.0,6.3,-1.9,11.0,27.5,33.3,6.2,21.6,17.0,38.6,15.8,24.2,6.9,10.7,3.8,24.8,17.6,33.8,16.0,30.2,6.7
2020-10-01,27.1,47.8,25.4,43.9,23.3,38.1,5.3,4.6,24.2,39.2,5.6,9.1,-1.9,-1.0,31.5,35.3,7.7,24.0,17.4,31.1,9.6,25.1,4.7,8.9,3.4,20.8,20.5,33.6,21.7,30.1,11.0
2020-11-01,8.4,40.5,9.2,36.6,10.4,42.0,9.0,13.0,15.3,38.3,13.9,7.3,-14.7,1.9,37.5,43.2,6.6,21.4,14.1,37.2,13.3,28.8,10.3,15.2,10.2,18.2,14.0,24.1,13.5,26.7,7.2
2020-12-01,26.2,47.4,19.6,43.0,20.2,38.4,9.7,10.8,23.1,41.5,11.5,1.8,-8.1,19.8,51.5,49.5,19.3,32.0,19.9,46.6,20.6,33.9,9.6,15.2,9.5,29.8,18.4,25.0,11.9,17.9,13.4
2021-01-01,5.5,43.9,10.7,43.4,6.6,39.9,5.6,3.8,14.4,40.6,9.8,0.0,-9.3,4.0,56.3,51.3,14.4,41.2,17.8,48.7,16.7,31.6,12.8,16.7,12.6,25.5,10.3,27.2,6.6,29.2,19.3
2021-02-01,21.0,39.8,17.3,35.6,13.7,31.7,12.2,4.5,15.8,35.8,10.1,5.8,-12.8,11.5,57.9,51.8,23.5,44.9,16.3,51.8,12.6,30.5,11.4,10.6,13.8,23.3,9.9,31.7,16.9,32.7,8.5
2021-03-01,48.8,37.7,46.2,35.3,31.7,45.0,22.2,7.1,33.8,42.0,31.0,3.0,-2.7,11.2,66.3,53.1,32.4,43.9,27.8,42.8,19.0,39.3,23.1,4.5,24.3,26.4,26.4,26.5,28.7,33.7,5.5
